ticker,company,industry,datereleased,fourmonthslater,numberofchanges,pricechange
ULTA,Ulta Salon Cosmetics & Fragrance Inc,Consumer Discretionary,4/3/13,8/1/13,4353,0.239634171
ULTA,Under Armour,Consumer Discretionary,4/3/13,8/1/13,4353,0.239634171
ULTA,Under Armour,Consumer Discretionary,4/3/13,8/1/13,4353,0.239634171
RHT,Red Hat Inc.,Information Technology,4/25/13,8/23/13,10812,0.050733454
KMX,Carmax Inc,Consumer Discretionary,4/26/13,8/24/13,2584,0.090138353
STZ,Constellation Brands,Consumer Staples,4/29/13,8/27/13,17317,0.151832449
BBBY,Bed Bath & Beyond,Consumer Discretionary,4/30/13,8/28/13,1579,0.080813924
BBBY,Berkshire Hathaway,Financials,4/30/13,8/28/13,1579,0.080813924
MCK,McKesson Corp.,Health Care,5/7/13,9/4/13,5086,0.136554498
CA,"CA, Inc.",Information Technology,5/9/13,9/6/13,2193,0.123395346
SYMC,Symantec Corp.,Information Technology,5/17/13,9/14/13,7212,0.044672635
EA,Electronic Arts,Information Technology,5/22/13,9/19/13,5028,0.24045977
XLNX,Xilinx Inc,Information Technology,5/23/13,9/20/13,2166,0.208228694
NTAP,NetApp,Information Technology,6/17/13,10/15/13,24974,0.058250883
SJM,JM Smucker,Consumer Staples,6/21/13,10/19/13,5358,0.07667664
MDT,Medtronic plc,Health Care,6/24/13,10/22/13,6382,0.111608983
HRB,Block H&R,Financials,6/26/13,10/24/13,22326,0.019529628
ORCL,Oracle Corp.,Information Technology,6/26/13,10/24/13,7015,0.105396749
GIS,General Mills,Consumer Staples,7/3/13,10/31/13,893,0.046361493
FDX,FedEx Corporation,Industrials,7/15/13,11/12/13,3,0.300052578
MOS,The Mosaic Company,Materials,7/17/13,11/14/13,8034,-0.108396155
CAG,ConAgra Foods Inc.,Consumer Staples,7/19/13,11/16/13,15361,-0.095460099
PAYX,Paychex Inc.,Information Technology,7/22/13,11/19/13,2024,0.125397278
NKE,Nike,Consumer Discretionary,7/23/13,11/20/13,8745,0.235936167
CTAS,Cintas Corporation,Industrials,7/30/13,11/27/13,2016,0.190516754
MSFT,Microsoft Corp.,Information Technology,7/30/13,11/27/13,4704,0.197868657
KLAC,KLA-Tencor Corp.,Information Technology,8/8/13,12/6/13,5174,0.088073955
PG,Procter & Gamble,Consumer Staples,8/8/13,12/6/13,3611,0.036641229
STX,Seagate Technology,Information Technology,8/8/13,12/6/13,7103,0.268155761
HAR,Harman Int'l Industries,Consumer Discretionary,8/9/13,12/7/13,4437,0.190995335
ADP,Automatic Data Processing,Information Technology,8/19/13,12/17/13,991,0.087432932
LLTC,Linear Technology Corp.,Information Technology,8/19/13,12/17/13,968,0.146763462
WDC,Western Digital,Information Technology,8/19/13,12/17/13,9918,0.304048114
CAH,Cardinal Health Inc.,Health Care,8/20/13,12/18/13,3408,0.315036871
EL,Estee Lauder Cos.,Consumer Staples,8/23/13,12/21/13,2067,0.096927569
HRS,Harris Corporation,Information Technology,8/26/13,12/24/13,3621,0.226357269
LRCX,Lam Research,Information Technology,8/27/13,12/25/13,7793,0.172666561
SYY,Sysco Corp.,Consumer Staples,8/27/13,12/25/13,10111,0.159201383
CSCO,Cisco Systems,Information Technology,9/10/13,1/8/14,5654,-0.063560239
CPB,Campbell Soup,Consumer Staples,9/26/13,1/24/14,2653,0.037623983
COST,Costco Co.,Consumer Staples,10/16/13,2/13/14,3483,-0.008028466
MON,Monsanto Co.,Materials,10/23/13,2/20/14,2356,0.032539962
MON,Monster Beverage,Consumer Staples,10/23/13,2/20/14,2356,0.032539962
AZO,AutoZone Inc,Consumer Discretionary,10/28/13,2/25/14,1084,0.254652878
MU,Micron Technology,Information Technology,10/28/13,2/25/14,13850,0.450957025
ACN,Accenture plc,Information Technology,10/29/13,2/26/14,8533,0.11333597
AAPL,Apple Inc.,Information Technology,10/30/13,2/27/14,6149,0.01719882
QCOM,QUALCOMM Inc.,Information Technology,11/6/13,3/6/14,11787,0.114554208
BEN,Franklin Resources,Financials,11/12/13,3/12/14,5642,0.004384435
TEL,TE Connectivity Ltd.,Information Technology,11/15/13,3/15/14,309824,0.097909484
TEL,"Tegna, Inc.",Consumer Discretionary,11/15/13,3/15/14,309824,0.097909484
TDG,TransDigm Group,Industrials,11/15/13,3/15/14,2385,0.209363444
ROK,Rockwell Automation Inc.,Industrials,11/18/13,3/18/14,2279,0.111726095
SWKS,Skyworks Solutions,Information Technology,11/18/13,3/18/14,4320,0.480063243
SBUX,Starbucks Corp.,Consumer Discretionary,11/18/13,3/18/14,6392,-0.070247288
TSN,Tyson Foods,Consumer Staples,11/18/13,3/18/14,138,0.445026311
EMR,Emerson Electric Company,Industrials,11/19/13,3/19/14,20,-0.049078585
DIS,The Walt Disney Company,Consumer Discretionary,11/20/13,3/20/14,2605,0.181679147
JCI,Johnson Controls International,Industrials,11/21/13,3/21/14,2211,0.137893402
FFIV,F5 Networks,Information Technology,11/22/13,3/22/14,10884,0.36038099
JEC,Jacobs Engineering Group,Industrials,11/22/13,3/22/14,4347,0.078715256
V,Visa Inc.,Information Technology,11/22/13,3/22/14,17087,0.107127434
APD,Air Products & Chemicals Inc,Materials,11/26/13,3/26/14,1846,0.104016628
ABC,AmerisourceBergen Corp,Health Care,11/26/13,3/26/14,62642,-0.078377609
DHI,D. R. Horton,Consumer Discretionary,11/26/13,3/26/14,6498,0.062965078
DHI,Danaher Corp.,Health Care,11/26/13,3/26/14,6498,0.062965078
HOLX,Hologic,Health Care,11/26/13,3/26/14,19701,-0.074811864
VAR,Varian Medical Systems,Health Care,11/26/13,3/26/14,10118,0.075954267
BDX,Becton Dickinson,Health Care,11/27/13,3/27/14,70596,0.067325447
HP,Helmerich & Payne,Energy,11/27/13,3/27/14,10459,0.378624268
DE,Deere & Co.,Industrials,12/16/13,4/15/14,3120,0.050962011
HRL,Hormel Foods Corp.,Consumer Staples,12/18/13,4/17/14,2,0.074456187
A,Agilent Technologies Inc,Health Care,12/19/13,4/18/14,6997,-0.043073677
COO,The Cooper Companies,Health Care,12/20/13,4/19/14,4038,0.013305807
HPQ,HP Inc.,Information Technology,12/30/13,4/29/14,7860,0.179846067
URI,"United Rentals, Inc.",Industrials,1/22/14,5/22/14,6865,0.210687631
LEN,Lennar Corp.,Consumer Discretionary,1/28/14,5/28/14,26246,0.049124955
MKC,McCormick & Co.,Consumer Staples,1/29/14,5/29/14,5600,0.110048242
AMZN,Amazon.com Inc,Consumer Discretionary,1/31/14,5/31/14,2582,-0.128634793
EBAY,eBay Inc.,Information Technology,1/31/14,5/31/14,47074,-0.046428561
FB,"Facebook, Inc.",Information Technology,1/31/14,5/31/14,12807,0.011666917
KSU,Kansas City Southern,Industrials,1/31/14,5/31/14,3981,0.021232819
ISRG,Intuitive Surgical Inc.,Health Care,2/3/14,6/3/14,9612,-0.075354613
NFLX,Netflix Inc.,Information Technology,2/3/14,6/3/14,6622,0.032617892
NOC,Northrop Grumman Corp.,Industrials,2/3/14,6/3/14,11182,0.084612462
LUV,Southwest Airlines,Industrials,2/4/14,6/4/14,7087,0.330338141
TROW,T. Rowe Price Group,Financials,2/4/14,6/4/14,3636,0.066824255
CERN,Cerner,Health Care,2/5/14,6/5/14,3531,0.011088142
CMG,Chipotle Mexican Grill,Consumer Discretionary,2/5/14,6/5/14,12158,0.034290206
DD,Du Pont (E.I.),Materials,2/5/14,6/5/14,3452,0.135583903
PHM,Pulte Homes Inc.,Consumer Discretionary,2/5/14,6/5/14,1152,0.022494488
BIIB,BIOGEN IDEC Inc.,Health Care,2/6/14,6/6/14,11177,0.054948266
CMS,CMS Energy,Utilities,2/6/14,6/6/14,7382,0.128166632
GM,General Motors,Consumer Discretionary,2/6/14,6/6/14,3112,0.055408619
HBI,Hanesbrands Inc,Consumer Discretionary,2/6/14,6/6/14,9598,0.234166134
NBL,Noble Energy Inc,Energy,2/6/14,6/6/14,150040,0.184891156
AJG,Arthur J. Gallagher & Co.,Financials,2/7/14,6/7/14,6894,0.029510857
EXPE,Expedia Inc.,Consumer Discretionary,2/7/14,6/7/14,82402,0.012663005
GD,General Dynamics,Industrials,2/7/14,6/7/14,3157,0.166506818
MTD,Mettler Toledo,Health Care,2/7/14,6/7/14,8058,-0.019746152
UNP,Union Pacific,Industrials,2/7/14,6/7/14,3365,0.146937327
ALXN,Alexion Pharmaceuticals,Health Care,2/10/14,6/10/14,30039,-0.018870184
GLW,Corning Inc.,Information Technology,2/10/14,6/10/14,2867,0.182537392
DLPH,Delphi Automotive,Consumer Discretionary,2/10/14,6/10/14,1837,0.126359252
CVS,CVS Health,Consumer Staples,2/11/14,6/11/14,3681,0.128526481
HCP,HCP Inc.,Real Estate,2/11/14,6/11/14,5882,0.110819143
HSIC,Henry Schein,Health Care,2/11/14,6/11/14,2246,0.038101905
RTN,Raytheon Co.,Industrials,2/11/14,6/11/14,7715,0.029540193
RTN,Realty Income Corporation,Real Estate,2/11/14,6/11/14,7715,0.029540193
RAI,Reynolds American Inc.,Consumer Staples,2/11/14,6/11/14,17714,0.269682696
TRIP,TripAdvisor,Consumer Discretionary,2/11/14,6/11/14,11618,0.22945369
TRIP,Twenty-First Century Fox Class A,Consumer Discretionary,2/11/14,6/11/14,11618,0.22945369
VRTX,Vertex Pharmaceuticals Inc,Health Care,2/11/14,6/11/14,13981,-0.128265481
VRTX,Viacom Inc.,Consumer Discretionary,2/11/14,6/11/14,13981,-0.128265481
GOOG,Alphabet Inc Class C,Information Technology,2/12/14,6/12/14,3441,-0.069844845
BHI,Baker Hughes Inc,Energy,2/12/14,6/12/14,1792,0.182970776
CMCSA,Comcast Corp.,Consumer Discretionary,2/12/14,6/12/14,7845,-0.042175827
CSX,CSX Corp.,Industrials,2/12/14,6/12/14,1077,0.106986471
OMC,Omnicom Group,Consumer Discretionary,2/12/14,6/12/14,4222,-0.025469028
UNH,United Health Group Inc.,Health Care,2/12/14,6/12/14,12232,0.140399954
MMM,3M Company,Industrials,2/13/14,6/13/14,755,0.108340636
ALK,Alaska Air Group Inc,Industrials,2/13/14,6/13/14,5592,0.204219626
AN,AutoNation Inc,Consumer Discretionary,2/13/14,6/13/14,4848,0.07626455
BWA,BorgWarner,Consumer Discretionary,2/13/14,6/13/14,1536,0.146203948
CELG,Celgene Corp.,Health Care,2/13/14,6/13/14,17883,-0.028833312
GT,Goodyear Tire & Rubber,Consumer Discretionary,2/13/14,6/13/14,3673,-0.02419061
MSI,Motorola Solutions Inc.,Information Technology,2/13/14,6/13/14,10316,0.026395666
REGN,Regeneron,Health Care,2/13/14,6/13/14,26446,-0.063337272
RSG,Republic Services Inc,Industrials,2/13/14,6/13/14,3460,0.086139008
BA,Boeing Company,Industrials,2/14/14,6/14/14,2638,0.022067234
BMY,Bristol-Myers Squibb,Health Care,2/14/14,6/14/14,6136,-0.127844202
CBS,CBS Corp.,Consumer Discretionary,2/14/14,6/14/14,2059,-0.065917933
CMA,Comerica Inc.,Financials,2/14/14,6/14/14,3984,0.06011444
DOV,Dover Corp.,Industrials,2/14/14,6/14/14,4430,0.259405276
DOW,Dow Chemical,Materials,2/14/14,6/14/14,107996,0.130276024
EXC,Exelon Corp.,Utilities,2/14/14,6/14/14,8914,0.211617762
HBAN,Huntington Bancshares,Financials,2/14/14,6/14/14,1974,0.046018296
ITW,Illinois Tool Works,Industrials,2/14/14,6/14/14,2352,0.127897978
IR,Ingersoll-Rand PLC,Industrials,2/14/14,6/14/14,8193,0.074975505
INTC,Intel Corp.,Information Technology,2/14/14,6/14/14,3845,0.216747361
KMB,Kimberly-Clark,Consumer Staples,2/14/14,6/14/14,5035,0.019179801
LMT,Lockheed Martin Corp.,Industrials,2/14/14,6/14/14,11000,0.023857946
MAS,Masco Corp.,Industrials,2/14/14,6/14/14,198105,-0.019873475
MA,Mastercard Inc.,Information Technology,2/14/14,6/14/14,10973,-0.017238504
NOV,National Oilwell Varco Inc.,Energy,2/14/14,6/14/14,2962,0.135671181
PEP,PepsiCo Inc.,Consumer Staples,2/14/14,6/14/14,11896,0.132842741
RHI,Robert Half International,Industrials,2/14/14,6/14/14,16495,0.180533981
R,Ryder System,Industrials,2/14/14,6/14/14,5038,0.21334342
R,"S&P Global, Inc.",Financials,2/14/14,6/14/14,5038,0.21334342
SNA,Snap-On Inc.,Consumer Discretionary,2/14/14,6/14/14,4205,0.074661136
TXT,Textron Inc.,Industrials,2/14/14,6/14/14,4804,0.056508024
WYN,Wyndham Worldwide,Consumer Discretionary,2/14/14,6/14/14,14593,0.029758677
CMI,Cummins Inc.,Industrials,2/18/14,6/18/14,8440,0.10529595
FLS,Flowserve Corporation,Industrials,2/18/14,6/18/14,609,0.009718712
FLR,Fluor Corp.,Industrials,2/18/14,6/18/14,7241,-0.027891447
FMC,FMC Corporation,Materials,2/18/14,6/18/14,1295,0.032526445
IDXX,IDEXX Laboratories,Health Care,2/18/14,6/18/14,6922,0.045780319
ILMN,Illumina Inc,Health Care,2/18/14,6/18/14,7796,0.003579818
MJN,Mead Johnson,Consumer Staples,2/18/14,6/18/14,4946,0.194748815
NI,NiSource Inc.,Utilities,2/18/14,6/18/14,795,0.092272953
DGX,Quest Diagnostics,Health Care,2/18/14,6/18/14,4060,0.112463128
VTR,Ventas Inc,Real Estate,2/18/14,6/18/14,9882,0.048438348
WY,Weyerhaeuser Corp.,Real Estate,2/18/14,6/18/14,80601,0.026426498
WHR,Whirlpool Corp.,Consumer Discretionary,2/18/14,6/18/14,4801,0.032576649
WHR,Whole Foods Market,Consumer Staples,2/18/14,6/18/14,4801,0.032576649
YUM,Yum! Brands Inc,Consumer Discretionary,2/18/14,6/18/14,5926,0.093230944
YUM,Zimmer Biomet Holdings,Health Care,2/18/14,6/18/14,5926,0.093230944
AIZ,Assurant Inc,Financials,2/19/14,6/19/14,9603,0.074065864
BCR,Bard (C.R.) Inc.,Health Care,2/19/14,6/19/14,49428,0.001179872
GRMN,Garmin Ltd.,Consumer Discretionary,2/19/14,6/19/14,2508,0.202189348
HUM,Humana Inc.,Health Care,2/19/14,6/19/14,10767,0.24419845
LLY,Lilly (Eli) & Co.,Health Care,2/19/14,6/19/14,8314,0.038864661
REG,Regency Centers Corporation,Real Estate,2/19/14,6/19/14,5755,0.112333674
TSCO,Tractor Supply Company,Consumer Discretionary,2/19/14,6/19/14,3269,-0.017399624
ALL,Allstate Corp,Financials,2/20/14,6/20/14,5359,0.11112766
AIG,"American International Group, Inc.",Financials,2/20/14,6/20/14,1417,0.13455706
CTXS,Citrix Systems,Information Technology,2/20/14,6/20/14,12649,0.07162904
XRAY,Dentsply Sirona,Health Care,2/20/14,6/20/14,6143,0.051006052
DISCA,Discovery Communications-A,Consumer Discretionary,2/20/14,6/20/14,748,-0.104816217
DISCA,Discovery Communications-C,Consumer Discretionary,2/20/14,6/20/14,748,-0.104816186
DPS,Dr Pepper Snapple Group,Consumer Staples,2/20/14,6/20/14,3059,0.183741097
EQT,EQT Corporation,Energy,2/20/14,6/20/14,2562,0.095286019
ESRX,Express Scripts,Health Care,2/20/14,6/20/14,1626,-0.108661886
FISV,Fiserv Inc,Information Technology,2/20/14,6/20/14,3024,0.056488283
HOG,Harley-Davidson,Consumer Discretionary,2/20/14,6/20/14,2667,0.114113793
JPM,JPMorgan Chase & Co.,Financials,2/20/14,6/20/14,10401,0.005778491
LYB,LyondellBasell,Materials,2/20/14,6/20/14,3292,0.184297738
MAR,Marriott Int'l.,Consumer Discretionary,2/20/14,6/20/14,3565,0.235345283
PPG,PPG Industries,Materials,2/20/14,6/20/14,3339,0.087480742
PCLN,Priceline.com Inc,Consumer Discretionary,2/20/14,6/20/14,23284,-0.062221322
PCLN,Principal Financial Group,Financials,2/20/14,6/20/14,23284,-0.062221322
UAL,United Continental Holdings,Industrials,2/20/14,6/20/14,6922,-0.044429832
ABT,Abbott Laboratories,Health Care,2/21/14,6/21/14,206301,0.058542752
ABBV,AbbVie,Health Care,2/21/14,6/21/14,3615,0.053624691
APH,Amphenol Corp,Information Technology,2/21/14,6/21/14,1627,0.110444021
AIV,Apartment Investment & Mgmt,Real Estate,2/21/14,6/21/14,2243,0.097013202
BAX,Baxter International Inc.,Health Care,2/21/14,6/21/14,2616,0.080148274
CBOE,CBOE Holdings,Financials,2/21/14,6/21/14,4872,-0.091412211
CNC,Centene Corporation,Health Care,2/21/14,6/21/14,15338,0.2387454
CVX,Chevron Corp.,Energy,2/21/14,6/21/14,55560,0.184501752
CHD,Church & Dwight,Consumer Staples,2/21/14,6/21/14,15286,0.063955596
ED,Consolidated Edison,Utilities,2/21/14,6/21/14,753,0.037859723
DVA,DaVita Inc.,Health Care,2/21/14,6/21/14,19953,0.08619394
FTI,FMC Technologies Inc.,Energy,2/21/14,6/21/14,1325,0.229508197
GGP,General Growth Properties Inc.,Real Estate,2/21/14,6/21/14,5493,0.08096208
INCY,Incyte,Health Care,2/21/14,6/21/14,3208,-0.132194577
IVZ,Invesco Ltd.,Financials,2/21/14,6/21/14,11905,0.118071864
